word,where,inscription,corpus_id,reading,meaning,confidence,group,allowance,note,root,root_kind,languages
A-TA-I-*301-WA-E,"Appendix B, pp.36-40",PKZa11a,PKZa11,,dwell,,exact,,,n-w-y,stated,
A-TA-I-*301-WA-JA,"Appendix B, pp.36-40",IO Za 2,IOZa2,,I make myself a dwelling,,exact,,"the second root in this entry (v n-b-ʾ) is the root of the Hebrew comparison word hitnabbeʾ, not of the Linear A word",n-w-y | n-b-ʾ,stated,
A-TA-NA-TE,"Appendix B, pp.36-40",ZA 10a,ZA10a,,togive,,exact,,,y-t-n,stated,
DA-I-PI-TA,"Appendix B, pp.36-40",ZA 10a,ZA10a,,,,exact,,"the entry calls it a pre-Greek, non-Semitic substrate name and gives no root",,none,Mycenaean Greek
DA-KU-SE-NE,"Appendix B, pp.36-40",HT 103,HT103,,tolove,,exact,,consonants copied from Hurrian Daku-šenni; Hurrian is not a Semitic language and this is not a Semitic root,d-k-š-n-n,from comparison word,Hurrian
DA-KU-SE-NE-TI,"Appendix B, pp.36-40",HT104,HT104,,,,exact,,consonants copied from Hurrian Daku-šenni; Hurrian is not a Semitic language and this is not a Semitic root,d-k-š-n-n,from comparison word,
DA-MA-TE,"Appendix B, pp.36-40",KYZa2,KYZa2,,tower,,exact,,,d-m-t,stated,Akkadian | Ugaritic
DU-RE-ZA-SE,"Appendix B, pp.36-40",ZA10a,ZA10a,,towardDureza,,exact,,the entry compares only the Linear A form DU-RE-ZA and a Proto-Semitic suffix; no root and no comparison word,,none,
I-DA-MA-TE,"Appendix B, pp.36-40",AR Zf 1–2,ARZf1,,the tower,,exact,,other cited inscription(s) -> ARZf2: exact; the entry reads it as prothetic I- before DA-MA-TE; v d-m-t is stated at the DA-MA-TE entry (p.38),d-m-t,stated,
I-KU-PA₃-NA-TU-NA-TE,"Appendix B, pp.36-40",APZa2,APZa2,,our,,exact,,consonants copied from Hurrian/Anatolian Kubaba; not a Semitic root,k-b-b,from comparison word,Anatolian | Hurrian
I-NA-JA-PA-QA,"Appendix B, pp.36-40",PK Za 11d,PKZa11,,behold,,exact,,,ʾ-n-n | p-q-ḥ,stated,Arabic | Hebrew
I-NA-JA-RE-TA,"Appendix B, pp.36-40",APZa2,APZa2,,inreverence,,exact,,,y-r-ʾ,stated,Hebrew
I-PI-NA-MA,"Appendix B, pp.36-40",IOZa2,IOZa2,,presence/face,,exact,,,p-n-y,stated,Hebrew
I-PI-NA-MI-NA,"Appendix B, pp.36-40",PKZa10,PKZa10,,presence,,exact,,,p-n-y,stated,Hebrew
I-TI-TI-KU-NI,"Appendix B, pp.36-40",HT 96a,HT96a,,pour out,,exact,,,n-t-k,stated,Hebrew | Ugaritic
I-ZU-RI-NI-TA,"Appendix B, pp.36-40",PH6,PH6,,bull,,exact,,,ṯ-w-r,stated,Hebrew | Proto-Semitic | Ugaritic
JA-DI-KI-TE-TE,"Appendix B, pp.36-40",PK Za 15,PKZa15,,O Dikte!,,different word breaks,,corpus writes it inside the longer word JA-DI-KI-TE-TE-DU-PU₂-RE,d-q-q,stated,
JA-DI-KI-TU,"Appendix B, pp.36-40",IO Za 2,IOZa2,,O Dikte!,,exact,,,d-q-q,stated,Hebrew
JA-SA-SA-RA-MA-NA,"Appendix B, pp.36-40",KN Za 10,KNZa10,,upright,,different word breaks,,corpus splits it as JA-SA-SA-RA-MA + NA (no word divider between them),y-š-r | m-n-y,stated,Hebrew
JA-SA-SA-RA-ME,"Appendix B, pp.36-40",PS Za 2,PSZa2,,upright,,exact,,,y-š-r,stated,Hebrew
JA-SU-MA-TU,"Appendix B, pp.36-40",SYZa2a,SYZa2,,release,,different word breaks,,corpus writes it inside the longer word JA-SU-MA-TU-OLIV,š-m-ṭ,stated,Hebrew
JA-TA-I-*301-U-JA,"Appendix B, pp.36-40",AP Za 1,APZa1,,,,exact,,,n-w-y,stated,
KI-DA-RO,"Appendix B, pp.36-40",HT 117a,HT117a,,pot,,exact,,,q-d-r,stated,Akkadian | Hebrew
KI-TA-NA-SI-JA-SE,"Appendix B, pp.36-40",PE Zb 3,PEZb3,,linen,,different word breaks,,corpus writes it inside the longer word A-KA-RA-KI-TA-NA-SI-JA-SE-VIR+[?]-ZA,k-t-n,stated,Akkadian | Aramaic | Hebrew | Mycenaean Greek | Ugaritic
KU-MI-NA-QE,"Appendix B, pp.36-40",HT Wc 3014a–b,HTWc3014,,cumin,,exact,,,k-m-n | q-b-b,stated,Akkadian | Hebrew | Mycenaean Greek
KU-PA₃-NA-TU,"Appendix B, pp.36-40",HT47a,HT47a,,,,exact,,consonants copied from Hurrian/Anatolian Kubaba; not a Semitic root,k-b-b,from comparison word,Anatolian | Hurrian
KU-PA₃-NU,"Appendix B, pp.36-40",HT1,HT1,,,,exact,,the radical sign in this entry (v g-p-n) belongs to the rival Ugaritic reading Gupanu; the entry's own preference is Hurrian/Anatolian Kubaba,g-p-n,stated,Anatolian | Hurrian
MA-KA-I-SE,"Appendix B, pp.36-40",ZA8,ZA8,,customsofficial,,exact,,,m-k-s,stated,Akkadian | Hebrew | Proto-Semitic
MA-KA-I-TA,"Appendix B, pp.36-40",ZA5b,ZA5b,,protection,,exact,,"consonants copied from Egyptian mk.t ""protection""; not a Semitic root",m-k-t,from comparison word,Egyptian
NA-MA-MA-TI-TI-*319,"Appendix B, pp.36-40",HT Zd 155,HTZd155,,Naamath,,"same word, different spelling","paper numbers the sign *319, corpus numbers it *904",corpus has NA-MA-MA-TI-TI-*904,n-ʿ-m,stated,Hebrew
PA-JA-RE,"Appendix B, pp.36-40",ZA10b,ZA10b,,He-of-Re,,exact,,"consonants copied from Egyptian pꜣ-y-Rʿ ""He-of-Re""; not a Semitic root",p-ꜣ-y-r-ʿ,from comparison word,Egyptian
PA-RA-NE,"Appendix B, pp.36-40",HT 115a,HT115a,,,,exact,,the entry reads it as the shortened form of A-PA-RA-NE; v ʿ-b-r is stated at the A-PA-RA-NE entry (p.37),ʿ-b-r,stated,
RI-RU-MA,"Appendix B, pp.36-40",HT118,HT118,,pig,,exact,,"consonants copied from Egyptian rrj ""pig""; not a Semitic root",r-r-j,from comparison word,Egyptian
RI-RU-MA-TI,"Appendix B, pp.36-40",PH(?) 31b,PH(?)31b,,no viable reading,,exact,,"the entry reads ""No viable reading""",,none,
RU-MA-TA,"Appendix B, pp.36-40",HT29,HT29,,height,,exact,,,r-w-m,stated,Hebrew
RU-MA-TA-SE,"Appendix B, pp.36-40",ZA 20,ZA20,,,,exact,,,r-w-m,stated,Hebrew
SI-KI-RA,"Appendix B, pp.36-40",HT 8a,HT8a,,beer,,exact,,,š-k-r,stated,Akkadian | Hebrew
SU-KI-RI-TA,"Appendix B, pp.36-40",PH Wa 32,PHWa32,,,,exact,,compared only to the Linear B toponym su-ki-ri-to / Sybrita; no root and no Semitic comparison word,,none,Mycenaean Greek
SU-KI-RI-TE-I-JA,"Appendix B, pp.36-40",HTZb158,HTZb158b,,,,exact,,other cited inscription(s) -> HTZb158a: not found; read as SU-KI-RI-TA plus a gentilic ending; no root and no comparison word,,none,
TA-NA-I-*301-TI,"Appendix B, pp.36-40",PSZa2,PSZa2,,answer,,exact,,,ʿ-n-y,stated,
TA-NA-I-*301-U-TI-NU,"Appendix B, pp.36-40",IOZa6,IOZa6,,answer,,exact,,,ʿ-n-y,stated,
TA-NA-TE,"Appendix B, pp.36-40",ZA10a,ZA10a,,,,exact,,,y-t-n | ṯ-n-n,stated,
TI-TI-KU,"Appendix B, pp.36-40",HT 35,HT35,,they disbursed,,exact,,,n-t-k,stated,Hebrew | Ugaritic
U-NA-KA-NA-SI,"Appendix B, pp.36-40",KO Za 1c,KOZa1,,"behold, my assembly!",,exact,,,k-n-s,stated,Hebrew
U-NA-RU-KA-JA-SI,"Appendix B, pp.36-40",PKZa12c,PKZa12,,,,exact,,the entry only cross-references U-NA-RU-KA-NA-SI and U-NA-RU-KA-NA-TI; no root and no comparison word,,none,
U-NA-RU-KA-NA-TI,"Appendix B, pp.36-40",PK Za 11b,PKZa11,,,,exact,,the entry reads it hunna lu kanasiti; v k-n-s is stated at the U-NA-KA-NA-SI entry (p.40) and at p.9,k-n-s,stated,
U-TA-I-SE,"Appendix B, pp.36-40",KH 7b,KH7b,,hefound,,exact,,,w-t-ʾ,stated,
WI-JA-SU-MA-TI-TI-*319,"Appendix B, pp.36-40",HTZd157+156,HTZd157+156,,re-lease,,different word breaks,"paper numbers the sign *319, corpus numbers it *904",corpus splits it as WI-JA-SU-MA-TI-TI + *904 (no word divider between them),š-m-ṭ,stated,Hebrew | Ugaritic
ZU-RI-NI-MA,"Appendix B, pp.36-40",KNZb52,KNZb52,,bull,,exact,,,ṯ-w-r,stated,Ugaritic
*312-TA,"Appendix B, pp.36-40",HT 10b,HT10b,,"tunic, garment",,exact,,,k-t-n,stated,Hebrew
*312-TE-TE,"Appendix B, pp.36-40",HT26a,HT26a,,"tunic,clothitem",,exact,,"consonants copied from Ugaritic ktn ""tunic""; v k-t-n is stated at the *312-TA entry (p.40)",k-t-n,from comparison word,Hebrew | Ugaritic
